id;msisdn;cmd;descriptions;price;datetime;result;trans_id;source;sub_type;systemid;serviceid;channel
1;mobile Fish;Home Loan Account Ta;Trace;33370;2019-10-30T12:44:53;14286;70807;Movies Producer;Implementation Electronics Officer;methodology Alb;Home Namibia;Steel zero admi
2;Multi-channelled Lic;grey Cambridgeshire;Canyon HDD;68030;2019-10-30T23:04:56;45049;6505;Factors;South Dakota envisioneer Music;Nakfa;Bahamian Dollar;Games Regional 
3;copy convergence;Mayotte;Industrial;84228;2019-10-30T08:34:18;44975;93949;Chief Credit Card Account;archive Georgia Aruba;software scale ;Louisiana Speci;Plastic
4;Car Industrial deliv;orange Books;magenta monitor 1080p;60595;2019-10-31T01:23:52;92630;35846;Frozen IB;Highway Ergonomic;moratorium mora;New York tangib;Frozen bus
5;hard drive Robust Ne;Poland;Small partnerships;20171;2019-10-31T02:25:13;89576;63641;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Ac;Salad Web virtu
6;Refined Squares;maroon;EXE projection Fresh;35629;2019-10-30T19:32:34;90682;11005;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshi;Concrete 24/7 D
7;sky blue;Kenyan Shilling robu;Versatile Exclusive Moroccan Dirham;71227;2019-10-30T19:57:13;14808;28484;Computers Personal Loan Account Berkshire;Home;Investor Public;Lebanon;Designer Persis
8;Handmade 24/7 Re-con;web-enabled invoice ;bypassing optical;15071;2019-10-30T19:28:34;50819;18651;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate;bricks-and-clic
9;Fiji Dollar Profound;Macao Equatorial Gui;Agent;55829;2019-10-30T05:33:54;88263;63310;B2B;Saint Helena Pound programming;AI optical invo;Marketing;Dynamic Home Lo
10;Branding;Home Gloves Latvia;Ports Manager Fish;1807;2019-10-30T21:28:51;49389;32539;navigate;program alarm;Nevada;Berkshire;dedicated Perse
